SNO,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP
1,F,11.3,9.3,23,32.9,77,B,3
2,M,12.3,8.3,19.5,28.6,69,C+,2.3
3,F,9.2,7.7,8,25.7,51,D,1.3
4,M,12.9,8.7,21,25.7,68,C+,2.3
5,F,11.3,8.7,21.5,40,82,B+,3.3
6,M,9.2,8,7.5,25.7,50,D,1.3
7,M,12.1,9.7,24,40,86,A-,3.7
8,M,10.8,8.3,20.5,25.7,65,C+,2.3
9,F,10.8,8.3,17.5,35.7,72,B-,2.7
10,F,11,8,12.5,27.1,59,C-,1.7
11,F,11.9,8.7,24,32.9,78,B,3
12,M,9.2,8,11.5,21.4,50,D,1.3
13,M,9.2,5,8,40,62,C,2
14,M,10,6,17,28.6,62,C,2
15,M,10.4,8.3,15.5,27.1,61,C,2
16,F,10,8.7,15,30,64,C,2
17,F,10,9,19,50,88,A-,3.7
18,M,9.2,8.3,17.5,28.6,64,C,2
19,M,10,8.3,18,21.4,58,C-,1.7
20,M,10.8,9,20,31.4,71,B-,2.7
21,M,10.4,8.3,13,25.7,57,C-,1.7
22,M,10,8,12.5,27.1,58,C-,1.7
23,M,11.7,8.7,17,20,57,C-,1.7
24,F,9.6,7.7,8,27.1,52,D,1.3
25,M,11.7,8.3,19.5,30,70,B-,2.7
26,M,11.7,8.7,19,25.7,65,C+,2.3
27,M,9.6,8,10.5,22.9,51,D,1.3
28,M,9.6,5,7.5,15.7,38,F,0
29,M,9.6,7.7,11,25.7,54,D,1.3
30,M,10.2,8.3,18,20,57,C-,1.7
31,M,9.2,5.3,9,15.7,39,F,0
32,F,10,8.3,16.5,25.7,61,C,2
33,M,10.2,5.3,10,14.3,40,F,0
34,F,10,8,12,28.6,59,C-,1.7
35,M,9.8,8,13.5,20,51,D,1.3
