,GENDER,QUIZ,ASSIGN,MID,FINAL,TOTAL,LG,GP,BATCH,QUIZ_PERCENT,ASSIGN_PERCENT,MID_PERCENT,FINAL_PERCENT
59,M,9.0,7.8,10.0,25.7,53,D,1.3,bcs_fa21,60.0,78.0,40.0,51.4
60,F,10.1,8.0,15.5,37.1,71,B-,2.7,bcs_fa21,67.33333333333333,80.0,62.0,74.2
61,F,9.8,8.0,11.0,31.4,60,C,2.0,bcs_fa21,65.33333333333334,80.0,44.0,62.8
62,M,8.3,8.0,12.5,37.1,66,C+,2.3,bcs_fa21,55.333333333333336,80.0,50.0,74.2
63,F,9.0,8.3,12.5,31.4,61,C,2.0,bcs_fa21,60.0,83.0,50.0,62.8
64,M,9.0,8.3,11.0,32.9,61,C,2.0,bcs_fa21,60.0,83.0,44.0,65.8
65,M,9.0,8.3,11.5,30.0,59,C-,1.7,bcs_fa21,60.0,83.0,46.0,60.0
66,M,9.8,8.5,15.5,50.0,84,B+,3.3,bcs_fa21,65.33333333333334,85.0,62.0,100.0
67,M,9.4,8.8,21.0,50.0,89,A-,3.7,bcs_fa21,62.66666666666667,88.00000000000001,84.0,100.0
68,F,8.6,8.0,9.5,24.3,50,D,1.3,bcs_fa21,57.333333333333336,80.0,38.0,48.6
69,M,9.0,7.0,10.0,24.3,50,D,1.3,bcs_fa21,60.0,70.0,40.0,48.6
70,F,10.9,8.3,14.5,30.0,64,C,2.0,bcs_fa21,72.66666666666667,83.0,57.99999999999999,60.0
71,M,11.3,8.8,17.0,32.9,70,B-,2.7,bcs_fa21,75.33333333333334,88.00000000000001,68.0,65.8
72,M,7.5,7.3,8.5,27.1,50,D,1.3,bcs_fa21,50.0,73.0,34.0,54.2
74,M,8.6,8.3,17.0,50.0,84,B+,3.3,bcs_fa21,57.333333333333336,83.0,68.0,100.0
75,F,10.5,8.5,14.5,32.9,66,C+,2.3,bcs_fa21,70.0,85.0,57.99999999999999,65.8
76,F,10.5,8.6,16.5,34.3,70,B-,2.7,bcs_fa21,70.0,86.0,66.0,68.6
77,M,8.6,7.5,14.0,30.0,60,C,2.0,bcs_fa21,57.333333333333336,75.0,56.00000000000001,60.0
78,M,8.3,8.3,16.0,35.7,68,C+,2.3,bcs_fa21,55.333333333333336,83.0,64.0,71.4
79,M,8.6,8.0,8.0,25.7,50,D,1.3,bcs_fa21,57.333333333333336,80.0,32.0,51.4
80,M,9.4,8.5,14.0,41.4,73,B-,2.7,bcs_fa21,62.66666666666667,85.0,56.00000000000001,82.8
81,F,6.8,8.0,8.0,27.9,51,D,1.3,bcs_fa21,45.33333333333333,80.0,32.0,55.8
82,F,9.8,8.3,17.0,44.3,79,B,3.0,bcs_fa21,65.33333333333334,83.0,68.0,88.6
83,M,9.0,8.5,15.0,25.7,58,C-,1.7,bcs_fa21,60.0,85.0,60.0,51.4
84,M,9.0,8.3,15.5,25.7,59,C-,1.7,bcs_fa21,60.0,83.0,62.0,51.4
85,F,10.1,8.3,13.0,50.0,81,B+,3.3,bcs_fa21,67.33333333333333,83.0,52.0,100.0
86,M,9.0,7.8,11.0,30.0,58,C-,1.7,bcs_fa21,60.0,78.0,44.0,60.0
87,M,9.0,7.8,14.5,30.0,61,C,2.0,bcs_fa21,60.0,78.0,57.99999999999999,60.0
88,M,9.0,8.3,12.5,47.1,77,B,3.0,bcs_fa21,60.0,83.0,50.0,94.2
89,F,8.3,7.3,12.0,31.4,59,C-,1.7,bcs_fa21,55.333333333333336,73.0,48.0,62.8
90,M,9.8,8.5,20.5,50.0,89,A-,3.7,bcs_fa21,65.33333333333334,85.0,82.0,100.0
91,M,10.5,8.5,13.0,40.0,72,B-,2.7,bcs_fa21,70.0,85.0,52.0,80.0
92,F,10.5,8.8,13.5,38.6,71,B-,2.7,bcs_fa21,70.0,88.00000000000001,54.0,77.2
93,M,4.9,6.9,21.0,19.2,52,D,1.3,bse_fa22,32.66666666666667,69.0,84.0,38.4
94,M,6.8,6.3,18.0,20.0,51,D,1.3,bse_fa22,45.33333333333333,63.0,72.0,40.0
97,F,8.6,6.3,17.0,28.5,60,C,2.0,bse_fa22,57.333333333333336,63.0,68.0,56.99999999999999
98,F,10.5,6.6,21.0,32.3,70,B-,2.7,bse_fa22,70.0,65.99999999999999,84.0,64.6
99,F,7.1,7.7,13.0,16.9,45,F,0.0,bse_fa22,47.333333333333336,77.0,52.0,33.8
101,M,6.8,6.9,9.0,16.9,40,F,0.0,bse_fa22,45.33333333333333,69.0,36.0,33.8
102,M,8.3,6.3,22.0,24.6,61,C,2.0,bse_fa22,55.333333333333336,63.0,88.0,49.2
103,F,6.4,7.7,19.0,19.2,52,D,1.3,bse_fa22,42.66666666666667,77.0,76.0,38.4
105,M,7.1,7.1,12.0,26.9,53,D,1.3,bse_fa22,47.333333333333336,71.0,48.0,53.79999999999999
106,M,8.3,7.4,19.0,45.4,80,B+,3.3,bse_fa22,55.333333333333336,74.0,76.0,90.8
107,F,8.3,7.7,13.0,20.8,50,D,1.3,bse_fa22,55.333333333333336,77.0,52.0,41.6
108,F,6.4,6.6,18.0,13.8,45,F,0.0,bse_fa22,42.66666666666667,65.99999999999999,72.0,27.6
109,M,9.0,7.4,20.0,18.5,55,C-,1.7,bse_fa22,60.0,74.0,80.0,37.0
110,M,6.8,7.4,18.0,18.5,51,D,1.3,bse_fa22,45.33333333333333,74.0,72.0,37.0
111,M,7.9,6.3,17.0,19.2,50,D,1.3,bse_fa22,52.66666666666667,63.0,68.0,38.4
113,M,4.5,6.9,21.0,18.5,51,D,1.3,bse_fa22,30.0,69.0,84.0,37.0
114,F,7.9,6.6,18.0,20.8,53,D,1.3,bse_fa22,52.66666666666667,65.99999999999999,72.0,41.6
115,M,4.9,5.7,16.0,23.8,50,D,1.3,bse_fa22,32.66666666666667,57.00000000000001,64.0,47.6
117,M,5.6,5.4,16.0,23.1,50,D,1.3,bse_fa22,37.33333333333333,54.0,64.0,46.2
118,M,6.0,5.4,15.0,23.8,50,D,1.3,bse_fa22,40.0,54.0,60.0,47.6
119,F,10.9,4.6,19.0,34.6,69,C+,2.3,bse_fa22,72.66666666666667,46.0,76.0,69.2
120,F,6.4,7.7,18.0,20.8,53,D,1.3,bse_fa22,42.66666666666667,77.0,72.0,41.6
121,M,7.9,6.6,18.0,19.2,52,D,1.3,bse_fa22,52.66666666666667,65.99999999999999,72.0,38.4
122,M,10.5,7.4,16.0,18.5,52,D,1.3,bse_fa22,70.0,74.0,64.0,37.0
124,M,7.1,7.1,22.0,30.8,67,C+,2.3,bse_fa22,47.333333333333336,71.0,88.0,61.6
125,M,6.4,7.1,12.0,18.5,44,F,0.0,bse_fa22,42.66666666666667,71.0,48.0,37.0
127,F,11.3,9.3,23.0,32.9,77,B,3.0,bse_fa21,75.33333333333334,93.0,92.0,65.8
128,M,12.3,8.3,19.5,28.6,69,C+,2.3,bse_fa21,82.0,83.0,78.0,57.2
